row;col;r;c;value;status
"Alt Camp";Valor;1;1;1154,45;
"Alt Camp";"Variació (%)";1;2;7,17;
"Alt Empordà";Valor;2;1;2062,06;
"Alt Empordà";"Variació (%)";2;2;7,19;
"Alt Penedès";Valor;3;1;1323,84;
"Alt Penedès";"Variació (%)";3;2;0,87;
"Alt Urgell";Valor;4;1;996,69;
"Alt Urgell";"Variació (%)";4;2;4,26;
"Alta Ribagorça";Valor;5;1;982,53;
"Alta Ribagorça";"Variació (%)";5;2;-32,31;
Anoia;Valor;6;1;1123,01;
Anoia;"Variació (%)";6;2;1,47;
Aran;Valor;7;1;2556,51;
Aran;"Variació (%)";7;2;3,52;
Bages;Valor;8;1;1224,1;
Bages;"Variació (%)";8;2;3,69;
"Baix Camp";Valor;9;1;1459,33;
"Baix Camp";"Variació (%)";9;2;2,38;
"Baix Ebre";Valor;10;1;1044,26;
"Baix Ebre";"Variació (%)";10;2;-5,55;
"Baix Empordà";Valor;11;1;2104,41;
"Baix Empordà";"Variació (%)";11;2;-0,56;
"Baix Llobregat";Valor;12;1;2485,68;
"Baix Llobregat";"Variació (%)";12;2;1,77;
"Baix Penedès";Valor;13;1;1413,91;
"Baix Penedès";"Variació (%)";13;2;0,74;
Barcelonès;Valor;14;1;3509,01;
Barcelonès;"Variació (%)";14;2;1,05;
Berguedà;Valor;15;1;1105,07;
Berguedà;"Variació (%)";15;2;18,05;
Cerdanya;Valor;16;1;2872,11;
Cerdanya;"Variació (%)";16;2;10,89;
"Conca de Barberà";Valor;17;1;776,41;
"Conca de Barberà";"Variació (%)";17;2;-8,84;
Garraf;Valor;18;1;2601,28;
Garraf;"Variació (%)";18;2;-0,49;
Garrigues;Valor;19;1;501,15;
Garrigues;"Variació (%)";19;2;-19,94;
Garrotxa;Valor;20;1;1213,82;
Garrotxa;"Variació (%)";20;2;-3,1;
Gironès;Valor;21;1;1655,61;
Gironès;"Variació (%)";21;2;4,15;
Lluçanès;Valor;22;1;;..
Lluçanès;"Variació (%)";22;2;;..
Maresme;Valor;23;1;2336,55;
Maresme;"Variació (%)";23;2;5,03;
Moianès;Valor;24;1;1399,76;
Moianès;"Variació (%)";24;2;4,3;
Montsià;Valor;25;1;836,87;
Montsià;"Variació (%)";25;2;2,44;
Noguera;Valor;26;1;685,81;
Noguera;"Variació (%)";26;2;6;
Osona;Valor;27;1;1353,46;
Osona;"Variació (%)";27;2;7,08;
"Pallars Jussà";Valor;28;1;716,32;
"Pallars Jussà";"Variació (%)";28;2;5,58;
"Pallars Sobirà";Valor;29;1;1158,99;
"Pallars Sobirà";"Variació (%)";29;2;-10,72;
"Pla de l'Estany";Valor;30;1;970,03;
"Pla de l'Estany";"Variació (%)";30;2;-31,45;
"Pla d'Urgell";Valor;31;1;667,7;
"Pla d'Urgell";"Variació (%)";31;2;-6,42;
Priorat;Valor;32;1;931,95;
Priorat;"Variació (%)";32;2;-9,48;
"Ribera d'Ebre";Valor;33;1;621,06;
"Ribera d'Ebre";"Variació (%)";33;2;6,96;
Ripollès;Valor;34;1;1233,21;
Ripollès;"Variació (%)";34;2;-22,42;
Segarra;Valor;35;1;851,44;
Segarra;"Variació (%)";35;2;9,14;
Segrià;Valor;36;1;996,96;
Segrià;"Variació (%)";36;2;2,79;
Selva;Valor;37;1;1595,44;
Selva;"Variació (%)";37;2;-1,26;
Solsonès;Valor;38;1;1058,57;
Solsonès;"Variació (%)";38;2;12,8;
Tarragonès;Valor;39;1;1599,79;
Tarragonès;"Variació (%)";39;2;3,02;
"Terra Alta";Valor;40;1;711,55;
"Terra Alta";"Variació (%)";40;2;-18,74;
Urgell;Valor;41;1;857,26;
Urgell;"Variació (%)";41;2;10,64;
"Vallès Occidental";Valor;42;1;2206,6;
"Vallès Occidental";"Variació (%)";42;2;4,29;
"Vallès Oriental";Valor;43;1;1762,24;
"Vallès Oriental";"Variació (%)";43;2;3,15;
Catalunya;Valor;44;1;2171,46;
Catalunya;"Variació (%)";44;2;-0,01;
Metropolità;Valor;45;1;2704,91;
Metropolità;"Variació (%)";45;2;2,08;
"Comarques Gironines";Valor;46;1;1834,23;
"Comarques Gironines";"Variació (%)";46;2;0,3;
"Camp de Tarragona";Valor;47;1;1257,34;
"Camp de Tarragona";"Variació (%)";47;2;-14,98;
"Terres de l'Ebre";Valor;48;1;912,08;
"Terres de l'Ebre";"Variació (%)";48;2;-3,07;
Ponent;Valor;49;1;891,06;
Ponent;"Variació (%)";49;2;1,88;
"Comarques Centrals";Valor;50;1;1257,34;
"Comarques Centrals";"Variació (%)";50;2;5,89;
"Alt Pirineu i Aran";Valor;51;1;1881,4;
"Alt Pirineu i Aran";"Variació (%)";51;2;-4,5;
Penedès;Valor;52;1;1767,6;
Penedès;"Variació (%)";52;2;-2,52;
Barcelona;Valor;53;1;2521;
Barcelona;"Variació (%)";53;2;1,34;
Girona;Valor;54;1;1867,06;
Girona;"Variació (%)";54;2;0,59;
Lleida;Valor;55;1;1094,65;
Lleida;"Variació (%)";55;2;-1,72;
Tarragona;Valor;56;1;1387,39;
Tarragona;"Variació (%)";56;2;0,72;
