row,col,r,c,value,status
"Alt Camp",Valor,1,1,1113.84,
"Alt Camp","Variació (%)",1,2,-4.11,
"Alt Empordà",Valor,2,1,2446.7,
"Alt Empordà","Variació (%)",2,2,1.44,
"Alt Penedès",Valor,3,1,1508.14,
"Alt Penedès","Variació (%)",3,2,-2.41,
"Alt Urgell",Valor,4,1,1431.44,
"Alt Urgell","Variació (%)",4,2,18.22,
"Alta Ribagorça",Valor,5,1,1518.97,
"Alta Ribagorça","Variació (%)",5,2,6.95,
Anoia,Valor,6,1,1428.55,
Anoia,"Variació (%)",6,2,7.03,
Aran,Valor,7,1,3158.56,
Aran,"Variació (%)",7,2,-0.44,
Bages,Valor,8,1,1381.91,
Bages,"Variació (%)",8,2,10.73,
"Baix Camp",Valor,9,1,1783.64,
"Baix Camp","Variació (%)",9,2,10.02,
"Baix Ebre",Valor,10,1,1204.07,
"Baix Ebre","Variació (%)",10,2,-2.51,
"Baix Empordà",Valor,11,1,2704.09,
"Baix Empordà","Variació (%)",11,2,4.61,
"Baix Llobregat",Valor,12,1,2824.43,
"Baix Llobregat","Variació (%)",12,2,2.19,
"Baix Penedès",Valor,13,1,1807.48,
"Baix Penedès","Variació (%)",13,2,5.41,
Barcelonès,Valor,14,1,3827.76,
Barcelonès,"Variació (%)",14,2,5.11,
Berguedà,Valor,15,1,1233.87,
Berguedà,"Variació (%)",15,2,18.02,
Cerdanya,Valor,16,1,3018.32,
Cerdanya,"Variació (%)",16,2,-5.52,
"Conca de Barberà",Valor,17,1,969.33,
"Conca de Barberà","Variació (%)",17,2,4.4,
Garraf,Valor,18,1,3091.26,
Garraf,"Variació (%)",18,2,3.7,
Garrigues,Valor,19,1,632.18,
Garrigues,"Variació (%)",19,2,2.44,
Garrotxa,Valor,20,1,1461.7,
Garrotxa,"Variació (%)",20,2,-4.9,
Gironès,Valor,21,1,1971.42,
Gironès,"Variació (%)",21,2,5.95,
Lluçanès,Valor,22,1,1125.94,
Lluçanès,"Variació (%)",22,2,37.3,
Maresme,Valor,23,1,2538.6,
Maresme,"Variació (%)",23,2,7.4,
Moianès,Valor,24,1,1589.81,
Moianès,"Variació (%)",24,2,13.93,
Montsià,Valor,25,1,966.38,
Montsià,"Variació (%)",25,2,3.58,
Noguera,Valor,26,1,750.55,
Noguera,"Variació (%)",26,2,-31.25,
Osona,Valor,27,1,1547.31,
Osona,"Variació (%)",27,2,0.24,
"Pallars Jussà",Valor,28,1,930.73,
"Pallars Jussà","Variació (%)",28,2,8.4,
"Pallars Sobirà",Valor,29,1,1484.38,
"Pallars Sobirà","Variació (%)",29,2,-10.47,
"Pla de l'Estany",Valor,30,1,1668.62,
"Pla de l'Estany","Variació (%)",30,2,-10.44,
"Pla d'Urgell",Valor,31,1,861.56,
"Pla d'Urgell","Variació (%)",31,2,1.86,
Priorat,Valor,32,1,947.44,
Priorat,"Variació (%)",32,2,7.45,
"Ribera d'Ebre",Valor,33,1,774.82,
"Ribera d'Ebre","Variació (%)",33,2,-3.68,
Ripollès,Valor,34,1,1575.62,
Ripollès,"Variació (%)",34,2,-3.01,
Segarra,Valor,35,1,863.69,
Segarra,"Variació (%)",35,2,1.98,
Segrià,Valor,36,1,1098.94,
Segrià,"Variació (%)",36,2,-0.45,
Selva,Valor,37,1,1975.34,
Selva,"Variació (%)",37,2,4.74,
Solsonès,Valor,38,1,1201.45,
Solsonès,"Variació (%)",38,2,-2.84,
Tarragonès,Valor,39,1,1868.72,
Tarragonès,"Variació (%)",39,2,5.95,
"Terra Alta",Valor,40,1,1347.47,
"Terra Alta","Variació (%)",40,2,34.19,
Urgell,Valor,41,1,853.77,
Urgell,"Variació (%)",41,2,4,
"Vallès Occidental",Valor,42,1,2372.22,
"Vallès Occidental","Variació (%)",42,2,3.5,
"Vallès Oriental",Valor,43,1,2088.52,
"Vallès Oriental","Variació (%)",43,2,5.67,
Catalunya,Valor,44,1,2516.16,
Catalunya,"Variació (%)",44,2,4.57,
Metropolità,Valor,45,1,3065.37,
Metropolità,"Variació (%)",45,2,4.19,
"Comarques Gironines",Valor,46,1,2257.43,
"Comarques Gironines","Variació (%)",46,2,2.35,
"Camp de Tarragona",Valor,47,1,1772.92,
"Camp de Tarragona","Variació (%)",47,2,6.43,
"Terres de l'Ebre",Valor,48,1,1053.88,
"Terres de l'Ebre","Variació (%)",48,2,-0.12,
Ponent,Valor,49,1,968.54,
Ponent,"Variació (%)",49,2,-4.29,
"Comarques Centrals",Valor,50,1,1413.81,
"Comarques Centrals","Variació (%)",50,2,6.63,
"Alt Pirineu i Aran",Valor,51,1,2300.31,
"Alt Pirineu i Aran","Variació (%)",51,2,-3.17,
Penedès,Valor,52,1,2085.62,
Penedès,"Variació (%)",52,2,3.25,
Barcelona,Valor,53,1,2882.05,
Barcelona,"Variació (%)",53,2,4.43,
Girona,Valor,54,1,2284.48,
Girona,"Variació (%)",54,2,1.92,
Lleida,Valor,55,1,1292.68,
Lleida,"Variació (%)",55,2,-2.39,
Tarragona,Valor,56,1,1634.83,
Tarragona,"Variació (%)",56,2,5.11,
