Índice de precios de consumo (IPC). Por grupos de consumo
Cataluña
Variación interanual %
Fuente: INE.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=basics&n=10261&col=3&lang=es
;Índice general;Alimentos y bebidas no alcohólicas;Bebidas alcohólicas, tabaco y estupefacientes;Vestido y calzado;Vivienda, agua, electricidad, gas y otros combustibles;Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Sanidad;Transporte;Información y comunicaciones;Actividades recreativas, deporte y cultura;Servicios de educación;Restaurantes y servicios de alojamiento;Seguros y servicios financieros;Cuidado personal, protección social, y bienes y servicios diversos
04/2026;3,0;2,6;4,5;4,0;1,4;1,3;1,5;5,2;0,8;0,8;3,0;4,3;5,5;3,7
03/2026;3,1;2,4;4,1;3,5;2,7;1,0;1,6;4,4;0,5;2,8;3,0;4,1;4,9;4,0
02/2026;2,0;2,7;4,0;-0,3;1,0;0,7;1,5;-0,4;0,1;1,5;3,0;4,4;4,6;4,1
01/2026;2,0;2,6;4,5;-0,7;1,8;0,6;1,5;-0,6;0,2;2,3;3,0;3,7;5,9;3,1
12/2025;2,5;2,7;4,1;0,8;4,1;0,2;1,3;1,3;0,5;1,1;3,0;4,1;6,0;2,8
11/2025;2,6;2,4;4,4;1,0;4,1;0,8;1,3;1,6;0,7;2,5;3,1;3,7;6,0;2,6
10/2025;2,6;2,3;3,6;1,4;5,5;0,9;1,2;1,7;0,7;0,9;2,8;3,5;6,0;2,7
09/2025;2,6;2,5;4,1;1,9;5,2;0,7;1,1;1,7;-0,2;1,9;3,7;3,0;6,0;2,8
08/2025;2,4;2,3;3,8;1,4;4,5;0,3;1,0;0,6;-0,3;1,5;2,8;4,2;6,0;2,7
07/2025;2,3;2,4;3,7;1,7;5,1;0,2;1,0;-0,5;-0,7;1,7;2,8;3,9;6,0;2,3
06/2025;2,0;2,6;4,4;1,1;3,0;0,4;0,9;-1,1;0,4;1,5;2,8;4,0;6,0;2,5
05/2025;1,8;2,5;3,8;1,6;2,6;0,4;0,9;-2,3;0,2;1,7;2,8;4,3;6,5;2,7
04/2025;2,1;2,3;2,2;0,4;2,9;0,0;1,3;-1,9;0,4;4,6;2,8;4,9;6,5;2,8
03/2025;2,2;2,7;3,4;0,3;4,7;0,4;1,1;-1,3;0,4;0,6;2,8;4,0;6,5;3,0
02/2025;3,1;2,9;3,2;0,2;8,9;0,3;1,4;0,1;0,6;2,8;2,8;3,8;6,4;3,1
01/2025;3,0;2,2;4,5;-0,1;7,4;0,5;1,4;1,0;0,1;3,1;2,8;4,2;6,4;3,3
12/2024;2,9;1,9;4,8;0,6;7,1;0,3;1,4;0,5;-0,1;4,3;2,8;4,0;6,2;3,4
11/2024;2,6;2,0;3,4;0,3;7,0;0,2;1,7;-0,5;-0,5;3,1;2,7;4,4;6,2;3,3
10/2024;2,0;2,0;4,2;1,5;4,4;0,2;1,7;-2,7;-0,2;1,7;2,7;4,5;6,2;3,3
09/2024;1,7;1,9;3,5;1,4;3,0;0,3;1,8;-3,8;-0,3;1,2;2,8;5,3;6,2;3,1
08/2024;2,4;2,6;3,7;1,1;3,9;0,4;1,9;-1,1;-0,3;2,6;3,3;4,3;6,2;3,3
07/2024;2,9;3,1;3,5;0,8;3,0;0,7;1,9;2,8;0,2;1,7;3,3;4,3;6,2;3,3
06/2024;3,6;3,8;3,9;1,9;4,7;0,5;2,4;3,3;0,3;3,7;3,3;4,7;6,2;3,6
05/2024;3,6;3,8;4,0;1,3;4,8;1,0;2,6;4,3;0,1;3,3;3,3;4,6;5,0;3,5
04/2024;3,3;4,1;4,2;1,4;3,9;1,4;2,4;3,4;0,0;1,8;3,3;4,2;5,0;3,4
03/2024;3,1;3,9;4,1;1,9;1,0;1,3;2,6;3,6;0,5;4,1;3,3;4,8;5,0;2,7
