ano;trim;geo;cod-ca;ca;cod-prv;prv;viv-num;viv-imp;viv-pm2;gar-num;gar-imp;gar-pm2;tras-num;tras-imp;tras-pm2;
2007;1;Nacional;99;ESPAÑA;99;ESPAÑA;893310;174711;1961,66;345635;16844;1160,21;66561;6044;984,48;
2007;1;Comunidad;1;Andalucía;98;ANDALUCÍA;176557;140505;1458,45;60792;16087;930,40;10691;6000;902,23;
2007;1;Provincia;1;Andalucía;4;Almería;21968;126541;1471,91;7130;15716;946,15;1024;4547;777,96;
2007;1;Provincia;1;Andalucía;11;Cádiz;27166;140283;1423,03;7176;15482;898,21;1111;5613;819,35;
2007;1;Provincia;1;Andalucía;14;Córdoba;11872;116923;1187,94;5323;14322;753,53;499;5033;677,64;
2007;1;Provincia;1;Andalucía;18;Granada;17086;124999;1284,45;7222;14463;785,19;1209;4646;688,71;
2007;1;Provincia;1;Andalucía;21;Huelva;11930;143299;1506,86;2528;17413;1045,15;623;5400;943,77;
2007;1;Provincia;1;Andalucía;23;Jaén;9019;94765;909,55;3158;10945;790,40;586;5588;851,43;
2007;1;Provincia;1;Andalucía;29;Málaga;43279;174453;1795,08;16368;18310;963,10;3771;7073;1009,93;
2007;1;Provincia;1;Andalucía;41;Sevilla;34237;134073;1343,52;11887;16650;1078,57;1868;6406;1005,94;
2007;1;Comunidad;2;Aragón;98;ARAGÓN;23005;177662;2139,55;8867;17050;1218,31;3718;5711;939,13;
2007;1;Provincia;2;Aragón;22;Huesca;5469;148996;1876,77;2969;14285;932,12;1568;4348;660,31;
2007;1;Provincia;2;Aragón;44;Teruel;2077;100112;1002,34;556;14950;1118,62;192;4762;728,27;
2007;1;Provincia;2;Aragón;50;Zaragoza;15459;194623;2337,39;5342;18805;1387,71;1958;6772;1157,59;
2007;1;Comunidad;3;Principado de Asturias;98;PRINCIPADO DE ASTURIAS;18780;124730;1531,29;10589;13181;974,60;2749;4403;855,20;
2007;1;Provincia;3;Principado de Asturias;33;Asturias;18780;124730;1531,29;10589;13181;974,60;2749;4403;855,20;
2007;1;Comunidad;4;Illes Balears;98;ILLES BALEARS;25370;180250;2010,85;10079;15291;1224,78;1732;5049;1023,33;
2007;1;Provincia;4;Illes Balears;7;Illes Balears;25370;180250;2010,85;10079;15291;1224,78;1732;5049;1023,33;
2007;1;Comunidad;5;Canarias;98;CANARIAS;42665;126744;1575,50;13198;16424;1145,51;2427;4914;945,46;
2007;1;Provincia;5;Canarias;35;Las Palmas;22095;124839;1571,27;6477;18574;1278,77;1372;5269;1020,57;
2007;1;Provincia;5;Canarias;38;Santa Cruz de Tenerife;20570;128674;1579,78;6721;14265;1011,68;1055;4441;845,49;
2007;1;Comunidad;6;Cantabria;98;CANTABRIA;12661;157852;1784,71;5736;15697;937,31;1325;6589;930,46;
2007;1;Provincia;6;Cantabria;39;Cantabria;12661;157852;1784,71;5736;15697;937,31;1325;6589;930,46;
2007;1;Comunidad;7;Castilla y León;98;CASTILLA Y LEÓN;47244;134353;1386,69;19413;13900;999,41;3745;5101;853,47;
2007;1;Provincia;7;Castilla y León;5;Ávila;2875;105161;1100,15;865;10069;714,99;147;3559;619,09;
2007;1;Provincia;7;Castilla y León;9;Burgos;7194;156629;1684,09;3326;16744;1169,12;908;7381;1149,90;
2007;1;Provincia;7;Castilla y León;24;León;9234;112712;1161,38;4285;10026;814,15;335;3686;526,39;
2007;1;Provincia;7;Castilla y León;34;Palencia;2851;112642;1125,44;739;17467;1233,46;385;4675;976,51;
2007;1;Provincia;7;Castilla y León;37;Salamanca;7066;127989;1373,73;3157;16445;1112,30;360;5392;811,56;
2007;1;Provincia;7;Castilla y León;40;Segovia;3228;146279;1413,62;835;13661;906,93;238;3807;644,86;
2007;1;Provincia;7;Castilla y León;42;Soria;1971;128604;1365,17;1166;12673;828,72;189;3840;614,89;
2007;1;Provincia;7;Castilla y León;47;Valladolid;9759;167285;1687,67;3778;15754;1137,30;766;5219;900,92;
2007;1;Provincia;7;Castilla y León;49;Zamora;3066;108108;1069,11;1262;10031;802,14;417;3648;697,83;
2007;1;Comunidad;8;Castilla-La Mancha;98;CASTILLA-LA MANCHA;38654;133266;1181,90;9442;11891;805,47;2465;4690;757,91;
2007;1;Provincia;8;Castilla-La Mancha;2;Albacete;6431;101532;1002,73;2470;11778;866,45;695;4443;793,57;
2007;1;Provincia;8;Castilla-La Mancha;13;Ciudad Real;8548;97844;962,61;2954;11517;728,51;675;3874;717,03;
2007;1;Provincia;8;Castilla-La Mancha;16;Cuenca;3620;105232;1040,88;795;10722;773,17;205;5899;787,00;
2007;1;Provincia;8;Castilla-La Mancha;19;Guadalajara;6554;167733;1499,66;1323;12399;757,90;291;5697;776,34;
2007;1;Provincia;8;Castilla-La Mancha;45;Toledo;13501;156126;1256,82;1900;12668;899,85;599;4840;735,32;
2007;1;Comunidad;9;Cataluña;98;CATALUÑA;144770;241706;2949,31;64361;17905;1339,16;7822;6200;1145,95;
2007;1;Provincia;9;Cataluña;8;Barcelona;90606;275698;3404,83;43218;19518;1505,13;4568;7101;1315,47;
