comunidad_autonoma,año,tope_ico,precio_medio_compraventa,brecha_ico
Andalucía,2024,225000,181859.0,43141.0
Andalucía,2025,225000,194469.5,30530.5
Aragón,2024,275000,134758.25,140241.75
Aragón,2025,275000,143243.0,131757.0
Principado de Asturias,2024,250000,115712.0,134288.0
Principado de Asturias,2025,250000,124854.0,125146.0
Illes Balears,2024,275000,366092.0,-91092.0
Illes Balears,2025,275000,402166.0,-127166.0
Canarias,2024,250000,184322.25,65677.75
Canarias,2025,250000,202770.5,47229.5
Cantabria,2024,250000,159296.0,90704.0
Cantabria,2025,250000,178490.25,71509.75
Castilla y León,2024,250000,115254.25,134745.75
Castilla y León,2025,250000,121625.25,128374.75
Castilla-La Mancha,2024,250000,97907.25,152092.75
Castilla-La Mancha,2025,250000,106117.75,143882.25
Cataluña,2024,300000,223306.25,76693.75
Cataluña,2025,300000,235906.75,64093.25
Comunitat Valenciana,2024,250000,150824.25,99175.75
Comunitat Valenciana,2025,250000,166717.25,83282.75
Extremadura,2024,200000,84423.25,115576.75
Extremadura,2025,200000,90269.0,109731.0
Galicia,2024,250000,136125.75,113874.25
Galicia,2025,250000,148892.5,101107.5
Comunidad de Madrid,2024,325000,327844.75,-2844.75
Comunidad de Madrid,2025,325000,369722.0,-44722.0
Región de Murcia,2024,250000,112605.75,137394.25
Región de Murcia,2025,250000,125773.75,124226.25
C. Foral de Navarra,2024,300000,197109.25,102890.75
C. Foral de Navarra,2025,300000,205306.0,94694.0
País Vasco,2024,300000,251393.75,48606.25
País Vasco,2025,300000,267582.0,32418.0
La Rioja,2024,250000,120782.5,129217.5
La Rioja,2025,250000,130532.5,119467.5
Ceuta,2024,250000,163516.5,86483.5
Ceuta,2025,250000,176339.0,73661.0
Melilla,2024,250000,168312.5,81687.5
Melilla,2025,250000,177229.75,72770.25
