año_proyeccion,precio_mercado_m2,precio_hpo_m2,brecha_m2,provincia
0,2882.05,2882.05,0.0,Barcelona
1,2990.35,2938.27,52.08,Barcelona
2,3102.72,2995.59,107.13,Barcelona
3,3219.31,3054.02,165.29,Barcelona
4,3340.28,3113.6,226.68,Barcelona
5,3465.8,3174.33,291.46,Barcelona
6,3596.03,3236.26,359.78,Barcelona
7,3731.16,3299.38,431.77,Barcelona
8,3871.37,3363.75,507.62,Barcelona
9,4016.84,3429.36,587.48,Barcelona
10,4167.78,3496.26,671.52,Barcelona
11,4324.39,3564.46,759.93,Barcelona
12,4486.89,3633.99,852.9,Barcelona
13,4655.5,3704.88,950.61,Barcelona
14,4830.43,3777.15,1053.28,Barcelona
15,5011.95,3850.83,1161.11,Barcelona
16,5200.28,3925.95,1274.33,Barcelona
17,5395.69,4002.53,1393.16,Barcelona
18,5598.45,4080.61,1517.83,Barcelona
19,5808.82,4160.21,1648.61,Barcelona
20,6027.1,4241.37,1785.73,Barcelona
21,6253.58,4324.1,1929.48,Barcelona
22,6488.57,4408.45,2080.12,Barcelona
23,6732.39,4494.45,2237.94,Barcelona
24,6985.37,4582.12,2403.25,Barcelona
25,7247.86,4671.5,2576.36,Barcelona
26,7520.21,4762.63,2757.58,Barcelona
27,7802.8,4855.54,2947.27,Barcelona
28,8096.01,4950.25,3145.75,Barcelona
29,8400.23,5046.82,3353.41,Barcelona
30,8715.89,5145.27,3570.62,Barcelona
0,2284.48,2284.48,0.0,Girona
1,2332.08,2329.04,3.04,Girona
2,2380.68,2374.48,6.2,Girona
3,2430.28,2420.79,9.49,Girona
4,2480.92,2468.02,12.9,Girona
5,2532.62,2516.16,16.46,Girona
6,2585.39,2565.24,20.14,Girona
7,2639.26,2615.28,23.98,Girona
8,2694.25,2666.3,27.95,Girona
9,2750.39,2718.31,32.08,Girona
10,2807.7,2771.34,36.37,Girona
11,2866.21,2825.4,40.81,Girona
12,2925.93,2880.51,45.42,Girona
13,2986.9,2936.7,50.2,Girona
14,3049.14,2993.99,55.15,Girona
15,3112.67,3052.39,60.28,Girona
16,3177.53,3111.94,65.59,Girona
17,3243.74,3172.64,71.1,Girona
18,3311.33,3234.53,76.8,Girona
19,3380.33,3297.63,82.7,Girona
20,3450.77,3361.95,88.81,Girona
21,3522.67,3427.53,95.13,Girona
22,3596.07,3494.4,101.68,Girona
23,3671.0,3562.56,108.44,Girona
24,3747.49,3632.06,115.44,Girona
25,3825.58,3702.91,122.68,Girona
26,3905.29,3775.14,130.16,Girona
27,3986.67,3848.78,137.89,Girona
28,4069.74,3923.86,145.88,Girona
29,4154.54,4000.4,154.14,Girona
30,4241.11,4078.44,162.67,Girona
0,1292.68,1292.68,0.0,Lleida
1,1327.74,1317.9,9.84,Lleida
2,1363.75,1343.6,20.15,Lleida
3,1400.74,1369.81,30.92,Lleida
4,1438.73,1396.54,42.19,Lleida
5,1477.75,1423.78,53.97,Lleida
6,1517.83,1451.55,66.28,Lleida
7,1559.0,1479.87,79.13,Lleida
8,1601.28,1508.73,92.55,Lleida
9,1644.71,1538.17,106.54,Lleida
10,1689.32,1568.17,121.15,Lleida
11,1735.14,1598.76,136.38,Lleida
12,1782.2,1629.95,152.25,Lleida
13,1830.53,1661.74,168.79,Lleida
14,1880.18,1694.16,186.02,Lleida
15,1931.17,1727.21,203.97,Lleida
16,1983.55,1760.9,222.65,Lleida
17,2037.35,1795.25,242.1,Lleida
18,2092.61,1830.27,262.34,Lleida
19,2149.36,1865.97,283.39,Lleida
20,2207.66,1902.37,305.29,Lleida
21,2267.53,1939.48,328.05,Lleida
22,2329.03,1977.31,351.72,Lleida
23,2392.2,2015.89,376.32,Lleida
24,2457.08,2055.21,401.87,Lleida
25,2523.72,2095.3,428.42,Lleida
26,2592.17,2136.17,456.0,Lleida
27,2662.48,2177.84,484.63,Lleida
28,2734.69,2220.33,514.36,Lleida
29,2808.86,2263.64,545.22,Lleida
30,2885.04,2307.8,577.25,Lleida
0,1634.83,1634.83,0.0,Tarragona
1,1674.45,1666.72,7.73,Tarragona
2,1715.04,1699.23,15.8,Tarragona
3,1756.6,1732.38,24.22,Tarragona
4,1799.18,1766.17,33.01,Tarragona
5,1842.79,1800.63,42.16,Tarragona
6,1887.45,1835.75,51.7,Tarragona
7,1933.2,1871.56,61.63,Tarragona
8,1980.05,1908.07,71.98,Tarragona
9,2028.04,1945.29,82.75,Tarragona
10,2077.19,1983.24,93.96,Tarragona
11,2127.54,2021.92,105.62,Tarragona
12,2179.1,2061.37,117.74,Tarragona
13,2231.92,2101.58,130.34,Tarragona
14,2286.01,2142.57,143.44,Tarragona
15,2341.42,2184.37,157.05,Tarragona
16,2398.17,2226.98,171.19,Tarragona
17,2456.29,2270.42,185.87,Tarragona
18,2515.83,2314.71,201.12,Tarragona
19,2576.8,2359.86,216.94,Tarragona
20,2639.26,2405.9,233.36,Tarragona
21,2703.23,2452.83,250.4,Tarragona
22,2768.74,2500.68,268.07,Tarragona
23,2835.85,2549.46,286.39,Tarragona
24,2904.58,2599.19,305.39,Tarragona
25,2974.98,2649.89,325.09,Tarragona
26,3047.09,2701.58,345.5,Tarragona
27,3120.94,2754.28,366.66,Tarragona
28,3196.58,2808.01,388.57,Tarragona
29,3274.05,2862.79,411.27,Tarragona
30,3353.41,2918.63,434.78,Tarragona
