Comunidades y Ciudades Autónomas;Edad del trabajador;Sexo;Periodo;Total
Total Nacional;Todas las edades;Ambos sexos;2024;29.540,26
Total Nacional;Todas las edades;Ambos sexos;2023;28.049,94
Total Nacional;Todas las edades;Ambos sexos;2022;26.948,87
Total Nacional;Todas las edades;Ambos sexos;2021;25.896,82
Total Nacional;Todas las edades;Ambos sexos;2020;25.165,51
Total Nacional;Todas las edades;Ambos sexos;2019;24.395,98
Total Nacional;Todas las edades;Ambos sexos;2018;24.009,12
Total Nacional;Todas las edades;Ambos sexos;2017;23.646,50
Total Nacional;Todas las edades;Ambos sexos;2016;23.156,34
Total Nacional;Todas las edades;Ambos sexos;2015;23.106,30
Total Nacional;Todas las edades;Ambos sexos;2014;22.858,17
Total Nacional;Todas las edades;Ambos sexos;2013;22.697,86
Total Nacional;Todas las edades;Ambos sexos;2012;22.726,44
Total Nacional;Todas las edades;Ambos sexos;2011;22.899,35
Total Nacional;Todas las edades;Ambos sexos;2010;22.790,20
Total Nacional;Todas las edades;Ambos sexos;2009;22.511,47
Total Nacional;Todas las edades;Ambos sexos;2008;21.883,42
Total Nacional;Todas las edades;Mujeres;2024;26.904,90
Total Nacional;Todas las edades;Mujeres;2023;25.591,31
Total Nacional;Todas las edades;Mujeres;2022;24.359,82
Total Nacional;Todas las edades;Mujeres;2021;23.175,95
Total Nacional;Todas las edades;Mujeres;2020;22.467,48
Total Nacional;Todas las edades;Mujeres;2019;21.682,02
Total Nacional;Todas las edades;Mujeres;2018;21.011,89
Total Nacional;Todas las edades;Mujeres;2017;20.607,85
Total Nacional;Todas las edades;Mujeres;2016;20.131,41
Total Nacional;Todas las edades;Mujeres;2015;20.051,58
Total Nacional;Todas las edades;Mujeres;2014;19.744,82
Total Nacional;Todas las edades;Mujeres;2013;19.514,58
Total Nacional;Todas las edades;Mujeres;2012;19.537,33
Total Nacional;Todas las edades;Mujeres;2011;19.767,59
Total Nacional;Todas las edades;Mujeres;2010;19.735,22
Total Nacional;Todas las edades;Mujeres;2009;19.502,02
Total Nacional;Todas las edades;Mujeres;2008;18.910,62
Total Nacional;Todas las edades;Hombres;2024;32.057,55
Total Nacional;Todas las edades;Hombres;2023;30.372,49
Total Nacional;Todas las edades;Hombres;2022;29.381,84
Total Nacional;Todas las edades;Hombres;2021;28.388,69
Total Nacional;Todas las edades;Hombres;2020;27.642,52
Total Nacional;Todas las edades;Hombres;2019;26.934,38
Total Nacional;Todas las edades;Hombres;2018;26.738,19
Total Nacional;Todas las edades;Hombres;2017;26.391,84
Total Nacional;Todas las edades;Hombres;2016;25.924,43
Total Nacional;Todas las edades;Hombres;2015;25.992,76
Total Nacional;Todas las edades;Hombres;2014;25.727,24
Total Nacional;Todas las edades;Hombres;2013;25.675,17
Total Nacional;Todas las edades;Hombres;2012;25.682,05
Total Nacional;Todas las edades;Hombres;2011;25.667,89
Total Nacional;Todas las edades;Hombres;2010;25.479,74
Total Nacional;Todas las edades;Hombres;2009;25.001,05
Total Nacional;Todas las edades;Hombres;2008;24.203,33
Total Nacional;Menos de 25 años;Ambos sexos;2024;15.135,59
Total Nacional;Menos de 25 años;Ambos sexos;2023;14.944,35
Total Nacional;Menos de 25 años;Ambos sexos;2022;14.700,90
Total Nacional;Menos de 25 años;Ambos sexos;2021;12.930,13
Total Nacional;Menos de 25 años;Ambos sexos;2020;12.693,72
Total Nacional;Menos de 25 años;Ambos sexos;2019;12.270,40
Total Nacional;Menos de 25 años;Ambos sexos;2018;12.417,98
Total Nacional;Menos de 25 años;Ambos sexos;2017;11.472,81
Total Nacional;Menos de 25 años;Ambos sexos;2016;11.046,39
Total Nacional;Menos de 25 años;Ambos sexos;2015;11.039,53
Total Nacional;Menos de 25 años;Ambos sexos;2014;11.560,18
Total Nacional;Menos de 25 años;Ambos sexos;2013;10.506,14
Total Nacional;Menos de 25 años;Ambos sexos;2012;11.077,39
Total Nacional;Menos de 25 años;Ambos sexos;2011;11.954,86
Total Nacional;Menos de 25 años;Ambos sexos;2010;13.154,92
Total Nacional;Menos de 25 años;Ambos sexos;2009;12.565,99
Total Nacional;Menos de 25 años;Ambos sexos;2008;12.953,62
Total Nacional;Menos de 25 años;Mujeres;2024;13.574,60
Total Nacional;Menos de 25 años;Mujeres;2023;13.409,09
Total Nacional;Menos de 25 años;Mujeres;2022;13.212,09
Total Nacional;Menos de 25 años;Mujeres;2021;11.498,86
Total Nacional;Menos de 25 años;Mujeres;2020;11.333,14
Total Nacional;Menos de 25 años;Mujeres;2019;11.103,13
Total Nacional;Menos de 25 años;Mujeres;2018;10.735,83
Total Nacional;Menos de 25 años;Mujeres;2017;9.933,23
Total Nacional;Menos de 25 años;Mujeres;2016;9.488,25
Total Nacional;Menos de 25 años;Mujeres;2015;9.534,67
Total Nacional;Menos de 25 años;Mujeres;2014;10.316,86
Total Nacional;Menos de 25 años;Mujeres;2013;9.272,53
Total Nacional;Menos de 25 años;Mujeres;2012;9.920,38
Total Nacional;Menos de 25 años;Mujeres;2011;10.723,02
Total Nacional;Menos de 25 años;Mujeres;2010;11.715,82
Total Nacional;Menos de 25 años;Mujeres;2009;11.258,44
Total Nacional;Menos de 25 años;Mujeres;2008;11.370,81
